NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
DEUTSCHE POST;DE0005552004;N/A;N/A;N/A;N/A;N/A;N/A;4610142;4400000;4400000;4400000;4900000;5300000;4700000;4800000;5130000;5220000;5600000;5680000;5900000;6300000;6270000;6590000;7300000;8300000;8260000;7660000;7660000
DEUTSCHE TELEKOM;DE0005557508;N/A;N/A;N/A;N/A;N/A;N/A;N/A;423145;382849;388361;397878;391152;387708;354208;336641;341509;299476;289190;284000;277000;257000;235261;218971;212044;239602;236355;236355
FRAPORT;DE0005773303;N/A;N/A;N/A;N/A;N/A;N/A;28104;28125;40908;44400;39400;43300;48000;41200;40200;38000;39600;40200;40100;42900;42300;25500;27100;32000;36235;36555;36555
FRESENIUS;DE0005785604;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;606000;521000;517000;335908;578000;563000;344161;351128;351128
FRESENIUS MED.CARE;DE0005785802;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;326000;218700;227300;376907;262600;258400;387049;360803;360803
DEUTSCHE BOERSE;DE0005810055;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0;8141;4434;4434;4434;4434;4434;4524;4346;7420;6475;4649;6444;4900;4900;4900
BILFINGER BERGER;DE0005909006;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;12939;12939;56572;58359;52822;52822;37629;37629;37629;37629;34844;35608;35643;33855;35828;35828
HEIDELBERG MATERIALS;DE0006047004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;46614432;49297918;44693687;46826134;52800000;47600000;47200000;74400000;73800000;75400000;72980000;68400000;69490000;65910000;62700000,5;62790000;62790000
HENKEL PREFERENCE;DE0006048432;N/A;N/A;N/A;368000;370000;477000;525000;477000;484000;486000;363000;365000;371000;362000;353000;337000;353000;355000;375000;353000;351000;345000;343000;284000;283000;405621;405621
HOCHTIEF;DE0006070006;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1760324;2159839;2418840;76355;88596;835241,27;815040,64;3225003;3248143;3100060;2007542;2251970;2891322;430721;298126;253343;267263;273825;215100;215100
SALZGITTER;DE0006202005;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;7839000;7919000;6217000;7910000;8330000;8330000;8330000;8330000;8330000;8670000;8470000;8710000;8402000;7600000;8300000;8100000;7308000;10135000;10135000
INFINEON TECHNOLOGIES;DE0006231004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;500000;500000;500000;500000;187211;193884;237868;295869;259078;273214;264203;229890;298246;312076;246126;230853;230853
MLP;DE0006569908;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;480,37;850;1408,56;2915,8;2976,7;2594;2578;2332;2332
MERCK KGAA;DE0006599905;N/A;N/A;N/A;166000;149000;148000;146000;314000;367000;299000;299000;348000;315000;318000;417000;390000;393000;384000;373000;332000;341000;1706000;1522000;1425000;1236000;858053;858053
GEA GROUP;DE0006602006;N/A;N/A;N/A;N/A;N/A;N/A;N/A;133000;133000;133000;133000;133000;133000;133000;133000;33827;40318;39348;41833;37127;35550;30938;35617;32292;30869;32278;32278
PUMA;DE0006969603;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;6300;6975;6616;7068;6689;7306;7296;6854;7678;6918;6326;4179;4456;6206;6709;5950;5950
RHEINMETALL;DE0007030009;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;256279;375202;105751;99754;134687;144151;138526;115583;143387;139801;139801
RWE;DE0007037129;N/A;N/A;N/A;N/A;N/A;N/A;150000000;149300000;189700000;174500000;149100000;167100000;163800000;181700000;165800000;156600000;152300000;154000000;135600000;120400000;91700000;70200000;86900000;85400000;61900000;53242042;53242042
RHOEN-KLINIKUM;DE0007042301;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;35803;34231;34200;37080;37512;37278;41473;48803;40344;37676;27423;27423
MERCEDES-BENZ GROUP N;DE0007100000;N/A;N/A;N/A;N/A;N/A;N/A;1162000;1135000;1032000;1009000;823000;932000;955000;960000;1052000;1030000;1060000;1056000;1192000;1247000;1239000;1027000;681000;569000;538000;600000;600000
SAP;DE0007164600;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18674;110000;131000;136003;145236;144298;155000;155000;155000;155000;155000;155000;155000;97400;96300;107500;112000;108800;108800
SIEMENS;DE0007236101;N/A;N/A;N/A;N/A;N/A;N/A;1560000;2000000;2100000;1480000;1115000;1059000;963000;1005000;998000;876000;907000;874000;874000;821000;768000;424000;386000;393000;387000;347000;347000
CECONOMY;DE0007257503;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;692887;759094;819950;1030000;1068706;1015598;871837;760186;712267;28500;26500;22600;22100;23200;19800;21200;21200
SUEDZUCKER;DE0007297004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3100000;2900000;2600000;2400000;2500000;2400000;2722192
HEIDELB.DRUCKMASCHINEN;DE0007314007;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;30307;29502;31914;31925;27590;19386;19269;17256
THYSSENKRUPP;DE0007500001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;15280906;24085967;30090000;16848000;26700000;32200000;32600000;32600000;22100000;22600000;22800000;21000000;22800000;21400000;22900000;22200000;22200000
WASHTEC;DE0007507501;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;6117;5778;5742;5795;5006;5006;5006
VOLKSWAGEN PREF.;DE0007664039;N/A;N/A;N/A;1230000;1360000;1320000;1340000;1370000;1390000;1400000;1420000;4320000;4579024;4260000;4200000;3990000;4250000;4230000;4050000;3910000;4400000;4340000;4670000;4480000;3600000;3000000;3000000
DEUTSCHE LUFTHANSA;DE0008232125;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;21395015;24201737;24228134;24228134;24228134;24228134;24228134;24228134;24228134;29250821;28949145;32790778;33349293;11509756;13823320;23210476;26822114;29159239;29159239
HANNOVER RUECK;DE0008402215;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0;0;0;0;0;0;0;28,36;23,94;165,32;510,13;389,24;389,24;389,24
ALLIANZ;DE0008404005;N/A;N/A;N/A;N/A;36840;49180;56893;56295;55603,69;53899,52;93062;41496;70150;81456;68374;59235;60784;56856;51838;46734;42011;28714;28699;30953;31774;36160,9;36160,9
MUNCH. RVRS.GESELL. MUNCH.N;DE0008430026;N/A;N/A;N/A;9196,38;11018,99;11018,99;22835;23607;22835;24670;65950,3;69621;90199;58991,6;60298,9;58516,8;58929;47761;47880;45730;44023;44105;47598;43664;33093;64353;64353
NORDEX;DE000A0D6554;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;9672;10666;14074;14181;27164;66433;52961;52961
