NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
GEORG FISCHER;CH1169151003;296,99;316,56;265,08;172,8;93,37;222,81;275,4;397,58;724,82;500,19;182,25;331,56;665,84;537,22;564,52;896,55;809,95;911,28;1179,56;2119,16;1287,9;1478,79;2011,29;2329,85;2350,77;2264,34;2626,51
STRAUMANN HLDG.;CH1175448666;51,07;194,86;350,17;359,42;374,25;729,29;1067,02;1248,43;1267,78;1300,28;759,6;1425,17;1355,52;1048,08;752,64;1149,43;1358,58;1868,17;2459,53;4313,92;4391,62;5900,38;7238,84;10628,5;9360,39;9825,76;8895,05
DSM FIRMENICH;CH1216478797;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;88,47;89,03
SGS 'N';CH1256740924;167,8;236,98;209,82;133,34;236,82;447,44;546,14;729,1;892,32;1067,25;859,15;1140,78;1521,45;1750,91;2399,9;2298,4;1989,48;2039,16;2338,22;3052,85;2877,27;3462,2;3849,53;3808,81;3374,39;3248,85;3488,18
UNITED INTERNET;DE0005089031;421,93;829,46;136,05;126,61;194,26;630,86;693,09;1217,54;2039,56;2184,44;732,53;1719,36;1887,25;2216,1;2839,28;5279,11;5259,01;6183,93;5288,66;9123,71;5063,74;4103,6;5646,76;5302,02;3306,92;3702,11;2333,26
DEUTSCHE BANK;DE0005140008;964,51;1445,8;1654,69;1160,58;791,65;1523,03;1703,57;2145,93;2924,97;2493,81;573,87;1528,89;1589,79;1176,68;1437,1;1316,26;890,95;520,77;604,92;600,67;313,25;321,54;370,79;514,96;459,89;520,78;730,46
BMW;DE0005190003;3620,9;3166,29;4810,82;5010,59;4135,25;6305,55;6110,76;6683,79;9119,45;8424,39;3552,08;6883,82;12370,9;14446,02;17154,81;18762,02;21148,24;14789,98;17534,16;22428,56;17695,57;15662,03;19824,45;25105,2;27138,9;29260,68;23234,72
BEIERSDORF;DE0005200000;2226,76;2197,17;3567,62;4147,27;3717,81;4027,47;3984,41;4585,01;7323,12;8397,92;5517,96;6785,84;6720,99;7338,68;10923,74;12237,83;11004,63;11561,52;11204,18;14933,65;12878,65;14719,72;14371,34;13277,56;16044,11;19507,21;17468,4
LEONI DEAD - DELIST.21/08/23;DE0005408884;247,75;241,15;216,35;227,84;313,74;669,5;783,85;1103,94;1388,89;1461,3;409,52;826,72;1595,71;1777,25;1744,86;3031,63;2590,47;1367,39;1752,48;3198,19;1665,5;527,65;680,76;506,23;297,03;0;N/A
CONTINENTAL;DE0005439004;813,29;520,92;572,68;491,11;553,23;1396,15;2522,5;3602,97;4559,58;3924,76;651,22;2288,99;3251,94;3347,83;4851,11;8832,93;9729,03;8753,16;8798,32;12979;7051,64;5293,78;7026,89;5357,79;4204,8;4698,88;4047,41
LANXESS;DE0005470405;N/A;N/A;N/A;N/A;N/A;N/A;131,74;208,85;355,84;240,94;101,73;292,78;562,33;513,76;655,89;495,05;379,99;307,04;582,28;673,78;445;499,07;647,42;533,14;451,68;248,84;238,62
DEUTSCHE POST;DE0005552004;N/A;N/A;106,67;61,98;55,28;114,95;120,94;149,97;177,38;185,77;70,86;117,12;123,43;121,19;176,7;256,92;259,08;192,35;281,52;400,32;262,64;323,18;478,45;607,46;479;513,27;397,58
DEUTSCHE TELEKOM;DE0005557508;319,1;522,77;232,97;107,84;97,62;155,5;165,93;126,17;148,75;180,46;116,65;138,55;156,2;140,69;163,09;221,38;259,25;262,4;271,31;280,07;278,23;290,47;334,69;368,06;449,15;504,02;716,71
FRAPORT;DE0005773303;N/A;N/A;N/A;68,89;54,62;89,62;115,61;215,52;237,84;242,11;120,8;172,79;247,24;213,03;227,89;274,71;233;236,5;243,3;475,71;331,04;326,18;245,37;299,1;252,46;254,5;251,77
FRESENIUS;DE0005785604;796,36;724,18;1004,52;663,13;427,7;893,02;1101,62;1731,9;2337,47;2748,97;1667,01;2173,18;3191;3704,41;4557,6;5758,88;6405,21;7435,65;9174,86;9615,01;6154,22;6106,42;5157,42;5142,89;3773,36;3624,86;5038,67
FRESENIUS MED.CARE;DE0005785802;95,16;126,36;128,26;88,9;74,46;110,99;133,91;180,29;233,69;270,38;238,47;281,48;333,76;402,41;402,42;406,33;429,44;524,78;492;656,91;445,46;478,61;442,59;445,05;255,41;262,19;343,37
DEUTSCHE BOERSE;DE0005810055;N/A;N/A;93,33;108,79;113,03;182,47;191,8;380,17;681,22;1162,93;328,31;478,72;565,34;466,08;533,8;648,59;678,3;775,61;830,75;1211,97;1291,69;1649,12;1713,29;1827,68;1961,11;2174,07;2748,76
BILFINGER BERGER;DE0005909006;709,57;614,1;521,36;813,75;783,79;1546,68;2014,2;2370,89;3732,88;3043,58;2002,73;4186,72;5019,97;5790,25;6520,37;7407,08;3652,86;2993,74;2998,53;3342,87;2403,84;2765,41;2731,63;3014,96;3439,03;4274,86;5311,52
HEIDELBERG MATERIALS;DE0006047004;815,15;834,77;697,22;614,44;423,31;721,32;1196,12;1770,77;2603,68;2764,78;685,19;1226,67;1279,56;1011,8;1301,79;1489,61;1521,82;1486,22;2064,57;2284,71;1536,37;1552,93;1704,39;1690,82;1724,58;2367,21;3663,71
HENKEL PREFERENCE;DE0006048432;462,4;380,45;462,07;393,64;426,71;604,05;670,69;807,02;1130,1;1061,77;605,24;1233,47;1556,24;1567,02;2322,72;2851,25;3043,09;2828,7;3292,85;3799,37;2734,86;2918,29;3046,72;2391,27;2166,84;2401,15;2759,1
HOCHTIEF;DE0006070006;1643,65;1436,45;1212,04;980,21;815,07;1862,52;2217,16;3645,79;5694,97;7377,87;2439,15;5893,38;6879,1;5413,28;5325,71;6406,76;5861,07;7854,28;12540,07;15684,59;13620,36;10801,55;10022,78;8493,66;7374,06;12823,26;17231,72
SALZGITTER;DE0006202005;235,79;230,21;225,2;285,88;215,09;353,15;643,39;2142,43;4038,16;5275,77;2355,19;3125,24;2774,46;2134,92;1671,7;1485,29;958,94;680,93;1434,72;2068,66;1085,68;625,97;971,5;1300,68;1549,68;1081,57;716,72
