formation_year,oos_year,ISIN,NAME,weight
2013,2014,GB0006027295,MORGAN ADVANCED MRA.,2.5013789084937527e-18
2013,2014,GB0006215205,MOBICO GROUP,1.5960113929720245e-18
2013,2014,GB0006731235,ASSOCIATED BRIT.FOODS,2.0117506628335275e-18
2013,2014,GB0006776081,PEARSON,1.4448046602489398e-18
2013,2014,GB0006825383,PERSIMMON,1.5487625504509692e-18
2013,2014,GB0006886666,EUROMONEY INSTL.INVESTOR DEAD - DELIST.25/11/22,0.01635752852989844
2013,2014,GB0006928617,UNITE GROUP,3.955594691474042e-18
2013,2014,GB0007099541,PRUDENTIAL,1.6275879642824303e-18
2013,2014,GB0007188757,RIO TINTO,7.129132887015587e-18
2013,2014,GB0007323586,RENISHAW,0.0
2013,2014,GB0007594764,RPS GROUP DEAD - DELIST.24/01/23,1.0138862003727532e-18
2013,2014,GB0007668071,CLOSE BROTHERS GROUP,0.0
2013,2014,GB0007669376,ST.JAMES'S PLACE ORD,0.0
2013,2014,GB0007908733,SSE,3.187782875753802e-20
2013,2014,GB0007958233,SENIOR,1.226668837887052e-18
2013,2014,GB0007973794,SERCO GROUP,0.0
2013,2014,GB0007980591,BP,0.0
2013,2014,GB0008025412,SIG,2.7901168918380484e-18
2013,2014,GB0008085614,MORGAN SINDALL GROUP,9.015274480467598e-19
2013,2014,GB0008220112,SMITH (DS) DEAD - DELIST.04/02/25,4.79801318565186e-19
2013,2014,GB0008706128,LLOYDS BANKING GROUP,2.5066873432796515e-19
2013,2014,GB0008782301,TAYLOR WIMPEY,0.0
2013,2014,GB0009067447,MOTHERCARE,0.03129007393754234
2013,2014,GB0009123323,ULTRA ELECTRONICS DEAD - DELIST.02/08/22,0.0
2013,2014,GB0009223206,SMITH & NEPHEW,0.0
2013,2014,GB0009292243,VICTREX,0.0
2013,2014,GB0009465807,WEIR GROUP,0.0
2013,2014,GB0009697037,BABCOCK INTERNATIONAL,4.692035901460725e-19
2013,2014,GB0009895292,ASTRAZENECA,0.08313457601123196
2013,2014,GB0030232317,PAGEGROUP,0.0
2013,2014,GB0030913577,BT GROUP,1.4232778809874435e-18
2013,2014,GB0031274896,MARKS & SPENCER GROUP,0.0
2013,2014,GB0031348658,BARCLAYS,0.0
2013,2014,GB0031638363,INTERTEK GROUP,1.744503229420127e-18
2013,2014,GB0031743007,BURBERRY GROUP,2.241923666708413e-18
2013,2014,GB0032089863,NEXT,0.0024476213964028312
2013,2014,GB0033195214,KINGFISHER,0.0
