ISIN,NAME,Minimum-Variance,Minimum-Variance 50% CF Reduction,weight_change,comparison,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
GB0009692319,WILMINGTON,9.855683384510603e-19,0.0,-9.855683384510603e-19,Minimum-Variance 50% CF Reduction,,,
GB0004478896,HUNTING,9.792902127186077e-19,0.0,-9.792902127186077e-19,Minimum-Variance 50% CF Reduction,,,
GB00BL6XZ716,CAPITAL & REGIONAL DEAD - DELIST.11/12/24,9.70791832837132e-19,0.0,-9.70791832837132e-19,Minimum-Variance 50% CF Reduction,,,
FR0000130213,LAGARDERE GROUPE,9.583373473688851e-19,0.0,-9.583373473688851e-19,Minimum-Variance 50% CF Reduction,,,
GB0009292243,VICTREX,9.397742844448e-19,0.0,-9.397742844448e-19,Minimum-Variance 50% CF Reduction,,,
GB00BDFBVT43,OXFORD BIOMEDICA,9.210231115552029e-19,0.0,-9.210231115552029e-19,Minimum-Variance 50% CF Reduction,,,
NL00150003E1,FUGRO C,9.120687681266148e-19,0.0,-9.120687681266148e-19,Minimum-Variance 50% CF Reduction,,,
GB0002074580,GENUS,9.088750963313424e-19,0.0,-9.088750963313424e-19,Minimum-Variance 50% CF Reduction,,,
NL0000360618,SBM OFFSHORE,9.074757390717719e-19,0.0,-9.074757390717719e-19,Minimum-Variance 50% CF Reduction,,,
DE0006602006,GEA GROUP,9.03202847422005e-19,0.0,-9.03202847422005e-19,Minimum-Variance 50% CF Reduction,,,
CH0012005267,NOVARTIS 'R',8.966615415396763e-19,0.0,-8.966615415396763e-19,Minimum-Variance 50% CF Reduction,,,
GB0000365774,AEP PLANTATIONS,8.757871062979618e-19,0.0,-8.757871062979618e-19,Minimum-Variance 50% CF Reduction,,,
AT0000606306,RAIFFEISEN BANK INTL.,8.535705584677475e-19,0.0,-8.535705584677475e-19,Minimum-Variance 50% CF Reduction,,,
GB00B04V1276,GRAINGER,8.530172560254666e-19,0.0,-8.530172560254666e-19,Minimum-Variance 50% CF Reduction,,,
GB00BJFFLV09,CRODA INTERNATIONAL,8.420944639634299e-19,0.0,-8.420944639634299e-19,Minimum-Variance 50% CF Reduction,,,
ES0130670112,ENDESA,8.366499850676794e-19,0.0,-8.366499850676794e-19,Minimum-Variance 50% CF Reduction,,,
DK0060079531,DSV,8.334453537734753e-19,0.0,-8.334453537734753e-19,Minimum-Variance 50% CF Reduction,,,
FR0000120172,CARREFOUR,8.178063442520868e-19,0.0,-8.178063442520868e-19,Minimum-Variance 50% CF Reduction,,,
FR0000131906,RENAULT,8.078342304442918e-19,0.0,-8.078342304442918e-19,Minimum-Variance 50% CF Reduction,,,
FI0009005961,STORA ENSO R,8.064774376478949e-19,0.0,-8.064774376478949e-19,Minimum-Variance 50% CF Reduction,,,
GB00BGLP8L22,IMI,8.043121250766167e-19,0.0,-8.043121250766167e-19,Minimum-Variance 50% CF Reduction,,,
SE0005190238,TELE2 B,8.014535249577511e-19,0.0,-8.014535249577511e-19,Minimum-Variance 50% CF Reduction,,,
GB00B45C9X44,CHEMRING GROUP,7.990195305081675e-19,0.0,-7.990195305081675e-19,Minimum-Variance 50% CF Reduction,,,
GB0033986497,ITV,7.984775085865341e-19,0.0,-7.984775085865341e-19,Minimum-Variance 50% CF Reduction,,,
AT0000730007,ANDRITZ,7.779808622423037e-19,0.0,-7.779808622423037e-19,Minimum-Variance 50% CF Reduction,,,
IT0005239360,UNICREDIT,7.688245590394903e-19,0.0,-7.688245590394903e-19,Minimum-Variance 50% CF Reduction,,,
GB00B082RF11,RENTOKIL INITIAL,7.674743474975406e-19,0.0,-7.674743474975406e-19,Minimum-Variance 50% CF Reduction,,,
GB0002869419,BIG YELLOW GROUP,7.608770611847136e-19,0.0,-7.608770611847136e-19,Minimum-Variance 50% CF Reduction,,,
IE00BYTBXV33,RYANAIR HOLDINGS,7.5921316497068595e-19,0.0,-7.5921316497068595e-19,Minimum-Variance 50% CF Reduction,,,
GB0009465807,WEIR GROUP,7.368303528966785e-19,0.0,-7.368303528966785e-19,Minimum-Variance 50% CF Reduction,,,
GB00B06QFB75,IG GROUP HOLDINGS,7.299011192485561e-19,0.0,-7.299011192485561e-19,Minimum-Variance 50% CF Reduction,,,
AT0000743059,OMV,7.0706363457130735e-19,0.0,-7.0706363457130735e-19,Minimum-Variance 50% CF Reduction,,,
DE0008430026,MUNCH. RVRS.GESELL. MUNCH.N,6.994540870872578e-19,0.0,-6.994540870872578e-19,Minimum-Variance 50% CF Reduction,,,
SE0000114837,TRELLEBORG B,6.912968750734288e-19,0.0,-6.912968750734288e-19,Minimum-Variance 50% CF Reduction,,,
FI0009007132,FORTUM,6.841829162391336e-19,0.0,-6.841829162391336e-19,Minimum-Variance 50% CF Reduction,,,
NL0000235190,AIRBUS,6.615989634447654e-19,0.0,-6.615989634447654e-19,Minimum-Variance 50% CF Reduction,,,
DK0010234467,FLSMIDTH AND B,6.4716114934096e-19,0.0,-6.4716114934096e-19,Minimum-Variance 50% CF Reduction,,,
GB0003308607,SPECTRIS DEAD - DELIST.05/12/25,6.393011874548647e-19,0.0,-6.393011874548647e-19,Minimum-Variance 50% CF Reduction,,,
CH0198251305,COCA-COLA HBC,6.369107067228646e-19,0.0,-6.369107067228646e-19,Minimum-Variance 50% CF Reduction,,,
GB0007323586,RENISHAW,6.351069210415288e-19,0.0,-6.351069210415288e-19,Minimum-Variance 50% CF Reduction,,,
GB00B18P5K83,TOPPS TILES,6.330747578016301e-19,0.0,-6.330747578016301e-19,Minimum-Variance 50% CF Reduction,,,
GB00BHJYC057,ICTL.HTLS.GP.,6.192887623432528e-19,0.0,-6.192887623432528e-19,Minimum-Variance 50% CF Reduction,,,
DE0007164600,SAP,6.100949936772491e-19,0.0,-6.100949936772491e-19,Minimum-Variance 50% CF Reduction,,,
DK0010287663,NKT,6.046628876113561e-19,0.0,-6.046628876113561e-19,Minimum-Variance 50% CF Reduction,,,
SE0015811955,INVESTOR A,6.021359713989733e-19,0.0,-6.021359713989733e-19,Minimum-Variance 50% CF Reduction,,,
SE0018012635,WIHLBORGS FASTIGHETER,5.962665495168208e-19,0.0,-5.962665495168208e-19,Minimum-Variance 50% CF Reduction,,,
ES0167050915,ACS ACTIV.CONSTR.Y SERV.,5.954942544207888e-19,0.0,-5.954942544207888e-19,Minimum-Variance 50% CF Reduction,,,
FR0000120503,BOUYGUES,5.705114269064486e-19,0.0,-5.705114269064486e-19,Minimum-Variance 50% CF Reduction,,,
GB0004161021,HAYS,5.516202094316282e-19,0.0,-5.516202094316282e-19,Minimum-Variance 50% CF Reduction,,,
SE0000667891,SANDVIK,5.384669799435647e-19,0.0,-5.384669799435647e-19,Minimum-Variance 50% CF Reduction,,,
