formation_year,ISIN,NAME,weight,carbon_intensity,WACI_contribution
2022,IE00BYTBXV33,RYANAIR HOLDINGS,0.0016881029027623366,2174.0976263843336,3.6701005139880993
2022,IT0003128367,ENEL,0.006245493156015693,558.5500521558293,3.4884205280314404
2022,DE0006047004,HEIDELBERG MATERIALS,0.0011035719357301197,3116.7167141417035,3.439521097347778
2022,GB00BP6MXD84,SHELL,0.015922312713974266,197.57840239335786,3.1459051084344853
2022,IE0001827041,CRH PUBLIC LIMITED,0.0029515589475159003,1051.7627037259301,3.104339618845784
2022,FR0000120271,TOTALENERGIES,0.011900668805859462,210.53450519410742,2.5055014185205713
2022,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,0.0008069268487707315,3017.632302743416,2.4350085248015105
2023,CH0012214059,HOLCIM,0.003259571128729891,2306.2190125194033,7.5172849097362064
2023,DE0007037129,RWE,0.0026323843139973045,1474.6833439138093,3.8819333026318037
2023,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.007292706949741788,472.4593280549268,3.4455074251765
2023,DE0006047004,HEIDELBERG MATERIALS,0.001176186102009446,2716.693243609954,3.1953368365569905
2023,GB0007188757,RIO TINTO,0.008088181753493365,314.08101546507845,2.540344338403315
2023,IE0001827041,CRH PUBLIC LIMITED,0.002914373811318837,844.0260454086011,2.4598074028098305
2023,GB00BP6MXD84,SHELL,0.017384324088230103,131.4906970410738,2.285876891949306
2023,IE00BYTBXV33,RYANAIR HOLDINGS,0.0016777645505880547,1290.49487743715,2.165146558079527
2023,FR0000120271,TOTALENERGIES,0.013725305959568116,117.31802401098659,1.6102257741227497
2023,IT0001347308,BUZZI,0.0003863596123235762,3978.1487768164743,1.536996019176322
2024,CH0012214059,HOLCIM,0.0036557107115844294,2275.483783876986,8.318510442755766
2024,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.008092074025800838,498.5533089474212,4.034330281810488
2024,DE0006047004,HEIDELBERG MATERIALS,0.001439727142366863,2744.6547858972567,3.9515539916833915
2024,DE0007037129,RWE,0.0022502634022535614,1725.3581463416374,3.882510292492631
2024,IE0001827041,CRH PUBLIC LIMITED,0.004219678452831722,779.4033942100873,3.288831708612214
2024,GB00BP6MXD84,SHELL,0.016932919417390106,155.5466356127556,2.633858646476933
2024,IE00BYTBXV33,RYANAIR HOLDINGS,0.002032595591647154,1084.8820886320068,2.205126550810374
2024,GB0007188757,RIO TINTO,0.007143063647947179,308.0294829052568,2.2002742018365073
2024,IT0001347308,BUZZI,0.0005374514562627411,3728.57036877898,2.0039255744783686
2024,FR0000120271,TOTALENERGIES,0.012991736574330736,150.94093905636547,1.96098491850241
